MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 CI (Lower) (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 CI (Upper) (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Curve class,MERS-CoV-MPro_fluorescence-dose-response_weizmann: Hill slope,MERS-CoV-MPro_fluorescence-dose-response_weizmann: pIC50,MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM) Standard Deviation (±),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM) Count,Molecule Name,CXSMILES (CDD Compatible),Batch Created Date
23.042,2.602,204.069,2.3,2.571,4.6,5.47,,1.0,ASAP-0013735,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NN=CN1C)C(=O)C1=CC=C(F)C=C12 |a:1,16|",2023-08-01
> 99.500,,,2.3,0.5,< 4.0,6.9,,1.0,ASAP-0013629,CN1N=C(C2=CC=C(C(F)(F)F)C=C2)N=C2C1=NC(=O)N(C)C2=O,2023-07-24
17.244,14.623,20.334,2.1,1.052,4.8,4.83,,1.0,ASAP-0013612,CC1=CC=CC=C1NC(=O)C[C@H]1SC(=O)N(C2=CC=CC=C2)C1=O |&1:11|,2023-07-24
> 99.500,,,,,< 4.0,4.84,,1.0,ASAP-0013713,C=C(CN(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1,2023-07-24
9.534,0.000,95571379204996767579816654274560.000,1.3,7.928,5.0,5.77,,1.0,ASAP-0013715,CCC(=O)NC1=CC=CC(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-07-24
> 99.500,,,,,< 4.0,3.61,,1.0,ASAP-0013401,CN1CCN(CC2=CC=CC=C2B2OC(C)(C)C(C)(C)O2)CC1,2023-07-18
> 99.500,,,,,< 4.0,4.31,0.0404,2.0,ASAP-0013402,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CC#N)=CC=C2C1=O |o1:3|,2023-07-18
> 99.500,,,,,< 4.0,3.84,0.154,2.0,ASAP-0013403,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CC#N)=CC=C2C1=O |o1:3|,2023-07-18
> 99.500,,,,,< 4.0,4.07,0.148,2.0,ASAP-0013404,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)N(C)C)C2=CC(F)=CC=C2C1=O,2023-07-18
> 99.500,,,,,< 4.0,4.19,0.00559,2.0,ASAP-0013315,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)O |&1:6|,2023-07-17
> 99.500,,,,,< 4.0,4.46,,1.0,ASAP-0013314,C#CC1=CC=C(NC(=O)C=C)C=C1N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2023-07-17
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0013251,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C(=N)N)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-07-05
13.172,8.971,19.340,2.1,0.792,4.9,4.54,,1.0,ASAP-0013279,"O=C(CCl)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|",2023-07-05
5.447,0.381,77.846,1.3,2.686,5.3,5.89,,1.0,ASAP-0013267,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC)C2=CC(Cl)=CC=C2C1=O,2023-07-05
> 99.500,,,,,< 4.0,3.8,,1.0,ASAP-0013270,COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C)C(=O)C1=CC=C(Cl)C=C12,2023-07-05
(IC50 could not be calculated),,,,,,4.79,,1.0,ASAP-0012326,C=C(CNC1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1,2023-06-29
(IC50 could not be calculated),,,,,,5.03,,1.0,ASAP-0012422,CC1=CC(NC(=O)NC2=CN(CC(C)C)C(=O)C3=CC=CC=C23)=NO1,2023-06-29
(IC50 could not be calculated),,,,,,9.0,,1.0,ASAP-0012345,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2CCCC2)C1 |&1:17|,2023-06-29
> 99.500,,,,,< 4.0,4.99,,1.0,ASAP-0012343,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CC=C2)C1 |&1:21|,2023-06-29
> 99.500,,,,,< 4.0,4.32,,1.0,ASAP-0012347,CC1=CC=C(CN2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C=C1,2023-06-29
> 99.500,,,,,< 4.0,5.53,,1.0,ASAP-0012341,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](CC2CCCCC2)C1 |&1:21|,2023-06-29
> 0.396,,,,,< 6.4,6.6,,1.0,ASAP-0012230,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C2OCCOC2=C1,2023-06-22
> 0.396,,,,,< 6.4,9.0,,1.0,ASAP-0011892,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N(CC1=CC=CC=C1)[C@H]1CCS(=O)(=O)C1,2023-06-22
> 0.396,,,,,< 6.4,6.41,,1.0,ASAP-0012097,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CC[C@@H](C2=CC=C(F)C=C2)[C@H](COC2=CC=C3OCOC3=C2)C1,2023-06-22
> 0.396,,,,,< 6.4,6.59,,1.0,ASAP-0011947,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCC(C)(C(=O)NC)CC1,2023-06-22
> 99.500,,,,,< 4.0,4.29,,1.0,ASAP-0011495,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CSC=C2)C1,2023-06-21
> 99.500,,,,,< 4.0,9.0,,1.0,ASAP-0011510,CC1=CC(C)=NC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:7|,2023-06-21
> 99.500,,,,,< 4.0,4.6,0.263,2.0,ASAP-0011518,C[C@]1(C2=CC=C(F)C=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,2023-06-21
> 99.500,,,,,< 4.0,9.0,,1.0,ASAP-0011519,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CN=C2)C1 |&1:17|,2023-06-21
> 99.500,,,,,< 4.0,4.09,,1.0,ASAP-0011526,CC1=CC=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:8|,2023-06-21
31.812,(IC50 CI (Lower) could not be calculated; singular matrix exception),(IC50 CI (Upper) could not be calculated; singular matrix exception),2.3,14.353,4.5,5.03,,1.0,ASAP-0011531,C=CC(=O)NC1=CC=C(Cl)C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-06-21
> 99.500,,,,,< 4.0,4.01,,1.0,ASAP-0011438,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCSC[C@H]1C1CC1 |&1:19|,2023-06-21
> 99.500,,,,,< 4.0,3.69,,1.0,ASAP-0011494,"C[C@H](C1=CC=CC=C1)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:8|",2023-06-21
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0011486,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN(CC2=CC=CC=C2)CC1,2023-06-21
> 99.500,,,,,< 4.0,4.22,,1.0,ASAP-0011434,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1 |&1:17|,2023-06-21
> 99.500,,,,,< 4.0,4.4,0.0195,2.0,ASAP-0011515,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC=C2)C1 |&1:16|,2023-06-21
> 99.500,,,,,< 4.0,4.07,,1.0,ASAP-0011449,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)CC1 |&1:17|,2023-06-21
> 99.500,,,,,< 4.0,4.23,,1.0,ASAP-0011451,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H](C2=CC=CC=C2)C1 |&1:18|,2023-06-21
> 99.500,,,,,< 4.0,4.18,0.249,2.0,ASAP-0011516,O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(CC2=CC=CC=C2)C[C@H]1C1=CC=CC=C1 |&1:25|,2023-06-21
> 99.500,,,,,< 4.0,6.83,,1.0,ASAP-0011514,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C(=O)N2CCCC2)CC1,2023-06-21
> 99.500,,,,,< 4.0,4.28,,1.0,ASAP-0011511,"CCN1CCC[C@H]1[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6,&2:7|",2023-06-21
> 99.500,,,,,< 4.0,3.69,,1.0,ASAP-0011460,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](SC2=CC=CC(Cl)=C2)C1 |&1:16|,2023-06-21
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0011500,CN(C1=CC=CC=C1)[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:8|,2023-06-21
> 99.500,,,,,< 4.0,4.24,,1.0,ASAP-0011506,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CC=CC=N2)C1,2023-06-21
> 99.500,,,,,< 4.0,4.04,,1.0,ASAP-0011505,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=CC=CC=C2CC1,2023-06-21
> 99.500,,,,,< 4.0,4.1,,1.0,ASAP-0011503,CC1=NC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=CS1 |&1:4|,2023-06-21
> 99.500,,,,,< 4.0,4.23,,1.0,ASAP-0011502,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=NC=CS2)CC1,2023-06-21
> 99.500,,,,,< 4.0,3.11,,1.0,ASAP-0011501,CC1=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=CS1 |&1:4|,2023-06-21
> 99.500,,,,,< 4.0,4.0,,1.0,ASAP-0011499,CN1C[C@H](CC2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)CC1=O |&1:3|,2023-06-21
> 99.500,,,,,< 4.0,4.22,,1.0,ASAP-0011498,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC=CC=N2)CC1,2023-06-21
> 99.500,,,,,< 4.0,3.95,,1.0,ASAP-0011497,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=NC=C1 |&1:17|,2023-06-21
> 99.500,,,,,< 4.0,4.3,,1.0,ASAP-0011507,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=NC=CO2)CC1,2023-06-21
> 99.500,,,,,< 4.0,7.29,,1.0,ASAP-0011454,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC2=CC=CC=C2)C1 |&1:16|,2023-06-21
> 99.500,,,,,< 4.0,4.21,,1.0,ASAP-0011491,O=C([C@H]1CC2=CC=CC=C2CN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCC1 |&1:2|,2023-06-21
> 99.500,,,,,< 4.0,3.32,,1.0,ASAP-0011463,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC=C2)C1 |&1:16|,2023-06-21
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0011490,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=CC=N2)C1 |&1:16|,2023-06-21
> 99.500,,,,,< 4.0,4.05,,1.0,ASAP-0011473,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1CCCCCC1 |&1:17|,2023-06-21
(IC50 could not be calculated),,,,,,4.82,,1.0,ASAP-0011509,"C[C@H]1CC[C@H](C2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:4|",2023-06-21
(IC50 could not be calculated),,,,,,5.01,,1.0,ASAP-0011480,CCC[C@]1(CC2=CC=CC=C2)CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:3|,2023-06-21
(IC50 could not be calculated),,,,,,4.63,,1.0,ASAP-0011443,O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1=CC=CC=C1 |&1:18|,2023-06-21
(IC50 could not be calculated),,,,,,4.51,,1.0,ASAP-0011474,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CCC1=CC=CC=C1 |&1:18|,2023-06-21
(IC50 could not be calculated),,,,,,4.75,,1.0,ASAP-0011458,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CS1 |&1:17|,2023-06-21
> 99.500,,,,,< 4.0,4.36,,1.0,ASAP-0011464,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC(C(F)(F)F)=C2)C1 |&1:16|,2023-06-21
(IC50 could not be calculated),,,,,,4.5,,1.0,ASAP-0011469,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]1CC1=CC=CC=C1 |&1:16|,2023-06-21
(IC50 could not be calculated),,,,,,4.54,,1.0,ASAP-0011470,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCC[C@H]1CC1=CC=CS1 |&1:19|,2023-06-21
(IC50 could not be calculated),,,,,,5.29,,1.0,ASAP-0011456,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CCCCC1 |&1:17|,2023-06-21
(IC50 could not be calculated),,,,,,5.08,,1.0,ASAP-0011477,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC2=CC=CC=C2S1 |&1:17|,2023-06-21
(IC50 could not be calculated),,,,,,4.6,,1.0,ASAP-0011533,CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]1C1=CC=CS1 |&1:18|,2023-06-21
(IC50 could not be calculated),,,,,,5.06,,1.0,ASAP-0011479,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=NC2=CC=CC=C2S1 |&1:18|,2023-06-21
(IC50 could not be calculated),,,,,,4.62,,1.0,ASAP-0011493,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]1CC1CCCC1 |&1:16|,2023-06-21
(IC50 could not be calculated),,,,,,5.5,,1.0,ASAP-0011483,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1COC1)C(=O)C1=CC=C(F)C=C12,2023-06-21
> 99.500,,,,,< 4.0,4.1,,1.0,ASAP-0011492,"C[C@H]1C[C@H](C2=CSC=C2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",2023-06-21
(IC50 could not be calculated),,,,,,5.11,,1.0,ASAP-0011467,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C[C@H]1C1=CC=CC=C1 |&1:19|,2023-06-21
> 99.500,,,,,< 4.0,4.07,,1.0,ASAP-0011475,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC=C2F)C1 |&1:16|,2023-06-21
> 99.500,,,,,< 4.0,4.04,,1.0,ASAP-0011476,O=C(CC1=CN=CC2=CC=CC=C12)N1CCOC[C@H]1C1=NC2=CC=CC=C2S1 |&1:18|,2023-06-21
> 99.500,,,,,< 4.0,4.33,,1.0,ASAP-0011489,"O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C[C@H]2CCOC2)C1 |&1:17,&2:19|",2023-06-21
> 99.500,,,,,< 4.0,4.12,,1.0,ASAP-0011465,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CN1CCC(F)(F)CC1,2023-06-21
> 99.500,,,,,< 4.0,4.88,,1.0,ASAP-0011468,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC(Cl)=C2)C1 |&1:16|,2023-06-21
> 99.500,,,,,< 4.0,4.39,,1.0,ASAP-0011471,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2(C3=CC=CC=C3)CC2)C1 |&1:16|,2023-06-21
> 99.500,,,,,< 4.0,4.33,,1.0,ASAP-0011472,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=C(F)C=C1 |&1:17|,2023-06-21
> 99.500,,,,,< 4.0,4.23,,1.0,ASAP-0011466,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=C(F)C=C1F |&1:17|,2023-06-21
> 99.500,,,,,< 4.0,4.29,,1.0,ASAP-0011478,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2CCC(F)(F)CC2)C1 |&1:16|,2023-06-21
> 99.500,,,,,< 4.0,3.53,,1.0,ASAP-0011481,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](C2=CC=CC=C2)(C(F)(F)F)C1 |&1:16|,2023-06-21
> 99.500,,,,,< 4.0,4.78,,1.0,ASAP-0011482,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1CCCC1 |&1:18|,2023-06-21
> 99.500,,,,,< 4.0,4.32,,1.0,ASAP-0011484,O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(CC2=CC=CC=C2)C[C@H]1C1CC1 |&1:25|,2023-06-21
> 99.500,,,,,< 4.0,4.1,,1.0,ASAP-0011487,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)C[C@H]1C1=CC=CC(F)=C1 |&1:15,&2:18|",2023-06-21
> 99.500,,,,,< 4.0,9.0,,1.0,ASAP-0011488,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C(=O)N2CCCCCC2)C1 |&1:16|,2023-06-21
(IC50 could not be calculated),,,,,,4.63,,1.0,ASAP-0011235,O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1=CC=CS1 |&1:18|,2023-06-13
> 99.500,,,,,< 4.0,4.3,,1.0,ASAP-0011282,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=CC=N2)C1 |&1:16|,2023-06-13
> 99.500,,,,,< 4.0,4.44,,1.0,ASAP-0011280,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN2C3=CC=CC=C3C[C@H]2C1 |&1:25|,2023-06-13
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0011309,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CO2)C1 |&1:16|,2023-06-13
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0011385,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CN=C2)C1 |&1:16|,2023-06-13
(IC50 could not be calculated),,,,,,4.6,,1.0,ASAP-0011254,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CC1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.05,,1.0,ASAP-0011288,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.44,,1.0,ASAP-0011283,CN1N=CC=C1[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:6|,2023-06-13
> 99.500,,,,,< 4.0,4.31,,1.0,ASAP-0011304,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(O)C=C2)C1 |&1:16|,2023-06-13
> 99.500,,,,,< 4.0,4.07,,1.0,ASAP-0011292,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC(F)(F)F)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.39,,1.0,ASAP-0011294,O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](CF)C2(CCCC2)C1 |&1:15|,2023-06-13
> 99.500,,,,,< 4.0,4.29,,1.0,ASAP-0011296,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC(F)=CC=C2F)CC1,2023-06-13
> 99.500,,,,,< 4.0,4.03,,1.0,ASAP-0011298,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CC=N1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.05,,1.0,ASAP-0011300,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)[C@H](C2=CC=CC=C2)C1 |&1:15,17|",2023-06-13
> 99.500,,,,,< 4.0,4.29,,1.0,ASAP-0011302,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@@H]1CCC1=CC=CC=N1,2023-06-13
> 99.500,,,,,< 4.0,4.85,,1.0,ASAP-0011306,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@](F)(C2=CC=CC=C2)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,3.84,,1.0,ASAP-0011308,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(F)(C2=CC=CC=C2)CC1,2023-06-13
> 99.500,,,,,< 4.0,4.28,,1.0,ASAP-0011391,CC1=CSC(N2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)=N1,2023-06-13
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0011390,CC1=CSC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:5|,2023-06-13
(IC50 could not be calculated),,,,,,4.66,,1.0,ASAP-0011262,CC1=CC=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C=C1 |&1:5|,2023-06-13
> 99.500,,,,,< 4.0,4.28,,1.0,ASAP-0011394,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C(=O)N2CCCCC2)C1 |&1:17|,2023-06-13
10.013,0.000,148918909454791594362024971342724488011766626026982776855231083739817648899227648.000,1.3,10.647,5.0,5.6,,1.0,ASAP-0011347,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1CCC1)C(=O)C1=CC=C(F)C=C12,2023-06-13
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0011315,CC1=NC=CC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:6|,2023-06-13
(IC50 could not be calculated),,,,,,4.52,,1.0,ASAP-0011379,"CC[C@H](C1=CC=CC=C1)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,&2:9|",2023-06-13
9.793,0.000,225495.630,1.3,6.894,5.0,5.76,,1.0,ASAP-0011368,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1(F)CC1)C(=O)C1=CC=C(Cl)C=C12,2023-06-13
(IC50 could not be calculated),,,,,,5.7,,1.0,ASAP-0011349,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1COC1)C(=O)C1=CC=C(Cl)C=C12,2023-06-13
(IC50 could not be calculated),,,,,,4.53,,1.0,ASAP-0011290,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1CCCC1 |&1:17|,2023-06-13
(IC50 could not be calculated),,,,,,5.59,,1.0,ASAP-0011338,O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |o1:10|,2023-06-13
(IC50 could not be calculated),,,,,,4.64,,1.0,ASAP-0011314,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CCC(F)(F)F)C1 |&1:17|,2023-06-13
(IC50 could not be calculated),,,,,,5.18,,1.0,ASAP-0011285,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=C1 |&1:18|,2023-06-13
(IC50 could not be calculated),,,,,,5.79,,1.0,ASAP-0011415,N#CC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,2023-06-13
> 99.500,,,,,< 4.0,4.36,,1.0,ASAP-0011396,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CN1C=NC=N1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.55,,1.0,ASAP-0011388,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CN=C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.87,,1.0,ASAP-0011412,O=C(CC1=CN=CC2=CC=CC=C12)N1CCOC[C@H]1C1=CC=CS1 |&1:18|,2023-06-13
> 99.500,,,,,< 4.0,4.37,,1.0,ASAP-0011410,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CN1C=CC=N1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.33,,1.0,ASAP-0011405,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NC=CS2)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.3,,1.0,ASAP-0011404,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CS2)C1 |&1:16|,2023-06-13
> 99.500,,,,,< 4.0,3.79,,1.0,ASAP-0011402,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](C2=CC=CC=C2)O[C@H](C2=CC=C(F)C=C2)C1 |&1:15,&2:23|",2023-06-13
> 99.500,,,,,< 4.0,4.06,,1.0,ASAP-0011400,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CN=C2C=CC=CC2=C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.82,,1.0,ASAP-0011398,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=N1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.04,,1.0,ASAP-0011312,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=CC(Cl)=C2)C1 |&1:16|,2023-06-13
> 99.500,,,,,< 4.0,4.3,,1.0,ASAP-0011340,O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |o1:10|,2023-06-13
> 99.500,,,,,< 4.0,4.74,,1.0,ASAP-0011318,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2CCC2)C1,2023-06-13
> 99.500,,,,,< 4.0,4.24,,1.0,ASAP-0011258,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CN=CS1 |&1:18|,2023-06-13
> 99.500,,,,,< 4.0,4.09,,1.0,ASAP-0011364,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)C[C@H]1C1=CC=CC=C1 |&1:15,&2:18|",2023-06-13
