SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 CI (Lower) (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 CI (Upper) (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: Hill slope,SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: pIC50 (log10M),Molecule Name,CXSMILES (CDD Compatible),Batch Created Date
0.024,0.023,0.025,1.511,7.62,ASAP-0021181,C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(Br)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2024-03-04
3.932,2.742,5.637,1.158,5.41,ASAP-0021103,"C[C@H](OC(C)(C)C)[C@@H](NC(=O)OCC1=CC=CC(OCCCCCCOC2=CC=CC3=C2C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)=C1)C(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O |a:1,7,49,60,64,&1:35|",2024-03-04
1.789,1.667,1.92,1.074,5.75,ASAP-0021173,C=CC(=O)N1CCC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2024-03-04
55.426,48.152,63.799,1.483,4.26,ASAP-0021055,C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC([C@H]2CCCN2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12 |&1:21|,2024-02-26
0.055,0.053,0.057,1.131,7.26,ASAP-0017447,"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2CS(=O)(=O)C2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",2024-02-05
0.039,0.039,0.04,1.069,7.4,ASAP-0017450,"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=NC=NC=N2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",2024-02-05
0.121,0.115,0.127,1.133,6.92,ASAP-0017451,"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2COC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",2024-02-05
0.002,0.002,0.002,1.566,8.68,ASAP-0000370,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,2024-01-30
2.561,2.421,2.709,1.558,5.59,ASAP-0017393,"C=C(C(=O)NC1=CC=CC=C1)[C@H]1C[C@]2(CN(CC(=O)NC)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:11,&2:13|",2024-01-29
16.310,12.892,20.636,0.786,4.79,ASAP-0017428,C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C2=CC=CN2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2024-01-29
0.004,0.004,0.004,1.348,8.43,ASAP-0000572,CN1C=NC(CN2C(=O)N/C(=N\C3=CC4=CN(C)N=C4C=C3Cl)N(CC3=CC(F)=C(F)C=C3F)C2=O)=N1,2024-01-18
10.140,9.025,11.393,1.293,4.99,ASAP-0017148,C=CC(=O)N1CCCC2=C1C=CC=C2N(C(=O)CC1=CN=CC2=CC=CC=C12)C1(C2=CC=CC(Cl)=C2)COC1,2024-01-15
1.296,1.181,1.423,1.409,5.89,ASAP-0016547,CCC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2023-12-19
0.130,0.123,0.137,1.16,6.89,ASAP-0016546,"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2(F)COC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",2023-12-19
63.146,56.638,70.402,1.132,4.2,ASAP-0016440,C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C(=O)NC)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2023-12-12
0.054,0.049,0.06,1.137,7.27,ASAP-0016511,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C1CNC1)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|",2023-12-12
4.825,4.553,5.114,1.35,5.32,ASAP-0016438,"C#CC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|",2023-12-12
0.020,0.018,0.021,1.296,7.7,ASAP-0016433,"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2(F)CC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",2023-12-05
0.010,0.009,0.01,1.149,8.02,ASAP-0016106,"C[C@H]1COC[C@H](C)N1CCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O |a:1,5,12,27|",2023-11-27
0.013,0.012,0.013,1.144,7.89,ASAP-0016110,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1CCOC(F)(F)C1)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|",2023-11-27
2.942,2.665,3.247,1.096,5.53,ASAP-0016104,"C=C(C(=O)O)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:5,&2:7|",2023-11-27
0.075,0.068,0.083,1.251,7.13,ASAP-0015916,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NN=CO1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=CC=NC=N1 |a:9,32|",2023-11-20
0.031,0.029,0.032,1.135,7.51,ASAP-0015380,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CF)C2=CC(Cl)=CC=C2C1=O |a:7,22|",2023-10-23
0.010,0.009,0.012,1.07,8.0,ASAP-0015385,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1C[C@@H]3C[C@H]1CO3)C(=O)C1=CC=C(Cl)C=C12 |a:1,16,23,25|",2023-10-23
0.042,0.04,0.044,1.225,7.38,ASAP-0015235,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN(C)C)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|",2023-10-09
0.058,0.056,0.059,1.113,7.24,ASAP-0015114,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCN1CC3(COC3)C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1 |a:9,35|",2023-10-02
0.682,0.648,0.717,1.378,6.17,ASAP-0014946,"C=C(C(=O)OC)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:6,&2:8|",2023-09-25
0.054,0.052,0.056,1.144,7.26,ASAP-0014938,"COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CNN=C1)C(=O)C1=CC=C(Cl)C=C12 |a:3,18|",2023-09-25
0.032,0.029,0.034,1.219,7.5,ASAP-0014887,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NC(C)=N2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",2023-09-18
1.178,1.032,1.344,1.082,5.93,ASAP-0014740,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(N2C=CC=N2)C=C1 |&1:6|,2023-09-11
0.062,0.058,0.065,1.694,7.21,ASAP-0014646,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CNN=C2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",2023-09-05
89.112,67.528,117.595,1.101,4.05,ASAP-0014654,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=CNC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-09-05
0.023,0.022,0.024,1.489,7.64,ASAP-0014649,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl |&1:6|,2023-09-05
0.008,0.008,0.008,1.432,8.1,ASAP-0014608,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NN2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",2023-08-29
0.028,0.026,0.029,1.139,7.56,ASAP-0014618,"CC1=NC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(F)=CC=C3C2=O)=CN1 |a:7,22|",2023-08-29
0.012,0.012,0.013,1.402,7.91,ASAP-0013743,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl |&1:6|,2023-08-24
2.142,1.925,2.383,1.5,5.67,ASAP-0014554,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NN=NN1)C(=O)C1=CC=C(F)C=C12 |a:1,16|",2023-08-21
0.561,0.499,0.631,1.331,6.25,ASAP-0014553,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NC=CC=N1)C(=O)C1=CC=C(F)C=C12 |a:1,16|",2023-08-21
0.123,0.116,0.131,1.227,6.91,ASAP-0014582,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCNCC(F)(F)F)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1 |a:9,34|",2023-08-21
39.468,35.396,44.009,1.245,4.4,ASAP-0014213,CNC(=O)C1(N2C[C@@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |a:7|,2023-08-15
0.029,0.027,0.03,1.144,7.54,ASAP-0014212,CNC(=O)C1(N2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |a:7|,2023-08-15
0.187,0.174,0.2,1.17,6.73,ASAP-0013834,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(F)=CC=C2C1=O |a:7,22|",2023-08-08
0.116,0.11,0.123,1.15,6.94,ASAP-0013832,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(Cl)=CC=C2C1=O |a:7,22|",2023-08-08
2.846,2.634,3.076,1.129,5.55,ASAP-0013836,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(N2C=CC=N2)C=C1 |&1:6|,2023-08-08
0.422,0.347,0.513,2.076,6.37,ASAP-0013735,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NN=CN1C)C(=O)C1=CC=C(F)C=C12 |a:1,16|",2023-08-01
28.385,23.008,35.019,1.462,4.55,ASAP-0013715,CCC(=O)NC1=CC=CC(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-07-24
34.712,25.86,46.594,1.081,4.46,ASAP-0013713,C=C(CN(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1,2023-07-24
9.215,2.803,30.292,0.539,5.04,ASAP-0013646,COC1=CC=C(C(=O)NC2=CC=CC(/C=C3/C(=O)NC(=O)C4=CC=CC=C34)=C2)C=C1,2023-07-24
0.589,0.438,0.793,1.131,6.23,ASAP-0013612,CC1=CC=CC=C1NC(=O)C[C@H]1SC(=O)N(C2=CC=CC=C2)C1=O |&1:11|,2023-07-24
0.147,0.142,0.152,1.149,6.83,ASAP-0013404,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)N(C)C)C2=CC(F)=CC=C2C1=O,2023-07-18
40.390,33.547,48.628,1.561,4.39,ASAP-0013403,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CC#N)=CC=C2C1=O |o1:3|,2023-07-18
96.145,82.111,112.578,1.717,4.02,ASAP-0013402,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CC#N)=CC=C2C1=O |o1:3|,2023-07-18
3.457,3.193,3.743,1.254,5.46,ASAP-0013315,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)O |&1:6|,2023-07-17
0.055,0.05,0.061,1.71,7.26,ASAP-0013279,"O=C(CCl)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|",2023-07-05
6.621,5.164,8.489,1.133,5.18,ASAP-0013251,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C(=N)N)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-07-05
3.320,2.898,3.804,1.293,5.48,ASAP-0013270,COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C)C(=O)C1=CC=C(Cl)C=C12,2023-07-05
0.029,0.026,0.033,1.114,7.54,ASAP-0013267,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC)C2=CC(Cl)=CC=C2C1=O,2023-07-05
28.013,25.296,31.021,1.27,4.55,ASAP-0012343,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CC=C2)C1 |&1:21|,2023-06-29
16.906,14.276,20.02,1.114,4.77,ASAP-0012341,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](CC2CCCCC2)C1 |&1:21|,2023-06-29
6.314,3.739,10.662,1.223,5.2,ASAP-0012422,CC1=CC(NC(=O)NC2=CN(CC(C)C)C(=O)C3=CC=CC=C23)=NO1,2023-06-29
10.148,8.409,12.246,1.322,4.99,ASAP-0012326,C=C(CNC1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1,2023-06-29
0.033,0.024,0.046,1.65,7.48,ASAP-0011656,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl,2023-06-22
0.292,0.258,0.33,1.019,6.53,ASAP-0012168,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=NC=C(C(F)(F)F)C=C1,2023-06-22
0.145,0.093,0.226,1.393,6.84,ASAP-0011676,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(Br)C=C1C,2023-06-22
35.793,27.577,46.458,1.43,4.45,ASAP-0011479,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=NC2=CC=CC=C2S1 |&1:18|,2023-06-21
59.802,51.309,69.7,1.369,4.22,ASAP-0011438,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCSC[C@H]1C1CC1 |&1:19|,2023-06-21
98.087,74.608,128.955,1.719,4.01,ASAP-0011476,O=C(CC1=CN=CC2=CC=CC=C12)N1CCOC[C@H]1C1=NC2=CC=CC=C2S1 |&1:18|,2023-06-21
14.354,12.791,16.108,1.223,4.84,ASAP-0011475,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC=C2F)C1 |&1:16|,2023-06-21
9.858,8.646,11.241,1.276,5.01,ASAP-0011473,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1CCCCCC1 |&1:17|,2023-06-21
22.491,19.945,25.362,1.295,4.65,ASAP-0011472,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=C(F)C=C1 |&1:17|,2023-06-21
11.268,10.105,12.565,1.275,4.95,ASAP-0011471,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2(C3=CC=CC=C3)CC2)C1 |&1:16|,2023-06-21
16.507,14.436,18.875,1.321,4.78,ASAP-0011468,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC(Cl)=C2)C1 |&1:16|,2023-06-21
22.453,19.205,26.25,1.291,4.65,ASAP-0011466,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=C(F)C=C1F |&1:17|,2023-06-21
33.553,28.654,39.288,1.318,4.47,ASAP-0011465,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CN1CCC(F)(F)CC1,2023-06-21
41.952,35.638,49.385,1.363,4.38,ASAP-0011464,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC(C(F)(F)F)=C2)C1 |&1:16|,2023-06-21
20.197,17.369,23.486,1.353,4.69,ASAP-0011463,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC=C2)C1 |&1:16|,2023-06-21
55.495,49.589,62.104,1.327,4.26,ASAP-0011454,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC2=CC=CC=C2)C1 |&1:16|,2023-06-21
16.679,14.66,18.976,1.274,4.78,ASAP-0011451,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H](C2=CC=CC=C2)C1 |&1:18|,2023-06-21
3.297,2.87,3.788,1.264,5.48,ASAP-0011449,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)CC1 |&1:17|,2023-06-21
1.694,1.491,1.924,1.279,5.77,ASAP-0011434,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1 |&1:17|,2023-06-21
17.939,14.035,22.928,1.439,4.75,ASAP-0011481,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](C2=CC=CC=C2)(C(F)(F)F)C1 |&1:16|,2023-06-21
14.189,12.439,16.184,1.256,4.85,ASAP-0011470,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCC[C@H]1CC1=CC=CS1 |&1:19|,2023-06-21
11.598,10.167,13.229,1.334,4.94,ASAP-0011443,O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1=CC=CC=C1 |&1:18|,2023-06-21
8.959,7.947,10.101,1.275,5.05,ASAP-0011456,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CCCCC1 |&1:17|,2023-06-21
13.870,12.214,15.751,1.25,4.86,ASAP-0011458,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CS1 |&1:17|,2023-06-21
28.407,24.78,32.565,1.325,4.55,ASAP-0011467,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C[C@H]1C1=CC=CC=C1 |&1:19|,2023-06-21
18.230,15.703,21.165,1.296,4.74,ASAP-0011469,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]1CC1=CC=CC=C1 |&1:16|,2023-06-21
21.267,18.762,24.108,1.223,4.67,ASAP-0011474,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CCC1=CC=CC=C1 |&1:18|,2023-06-21
7.924,6.301,9.964,1.363,5.1,ASAP-0011480,CCC[C@]1(CC2=CC=CC=C2)CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:3|,2023-06-21
0.367,0.309,0.437,1.311,6.44,ASAP-0011483,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1COC1)C(=O)C1=CC=C(F)C=C12,2023-06-21
12.068,10.693,13.621,1.288,4.92,ASAP-0011493,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]1CC1CCCC1 |&1:16|,2023-06-21
9.480,7.845,11.457,1.248,5.02,ASAP-0011509,"C[C@H]1CC[C@H](C2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:4|",2023-06-21
27.580,20.864,36.456,1.408,4.56,ASAP-0011477,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC2=CC=CC=C2S1 |&1:17|,2023-06-21
13.842,11.191,17.121,1.255,4.86,ASAP-0011533,CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]1C1=CC=CS1 |&1:18|,2023-06-21
38.313,29.146,50.362,1.397,4.42,ASAP-0011478,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2CCC(F)(F)CC2)C1 |&1:16|,2023-06-21
29.412,25.895,33.406,1.229,4.53,ASAP-0011460,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](SC2=CC=CC(Cl)=C2)C1 |&1:16|,2023-06-21
4.622,3.653,5.847,1.334,5.34,ASAP-0011482,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1CCCC1 |&1:18|,2023-06-21
9.702,7.856,11.982,1.314,5.01,ASAP-0011505,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=CC=CC=C2CC1,2023-06-21
5.009,4.434,5.658,1.601,5.3,ASAP-0011531,C=CC(=O)NC1=CC=C(Cl)C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-06-21
79.883,66.361,96.161,1.219,4.1,ASAP-0011527,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CSC=N2)CC1,2023-06-21
31.117,25.614,37.802,1.385,4.51,ASAP-0011484,O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(CC2=CC=CC=C2)C[C@H]1C1CC1 |&1:25|,2023-06-21
61.296,54.034,69.535,2.562,4.21,ASAP-0011519,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CN=C2)C1 |&1:17|,2023-06-21
14.468,12.161,17.212,1.227,4.84,ASAP-0011518,C[C@]1(C2=CC=C(F)C=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,2023-06-21
7.062,5.939,8.398,1.271,5.15,ASAP-0011516,O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(CC2=CC=CC=C2)C[C@H]1C1=CC=CC=C1 |&1:25|,2023-06-21
18.808,15.933,22.202,1.27,4.73,ASAP-0011515,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC=C2)C1 |&1:16|,2023-06-21
82.647,72.237,94.557,1.875,4.08,ASAP-0011512,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2CCCCC2)C1 |&1:16|,2023-06-21
77.823,65.178,92.921,1.445,4.11,ASAP-0011507,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=NC=CO2)CC1,2023-06-21
36.787,25.313,53.462,0.918,4.43,ASAP-0011526,CC1=CC=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:8|,2023-06-21
91.557,72.783,115.173,1.492,4.04,ASAP-0011504,O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(C2=CC=CN=C2)CC1,2023-06-21
16.865,15.006,18.955,1.266,4.77,ASAP-0011494,"C[C@H](C1=CC=CC=C1)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:8|",2023-06-21
21.278,17.519,25.843,1.331,4.67,ASAP-0011503,CC1=NC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=CS1 |&1:4|,2023-06-21
2.647,2.249,3.115,1.333,5.58,ASAP-0011487,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)C[C@H]1C1=CC=CC(F)=C1 |&1:15,&2:18|",2023-06-21
70.273,60.551,81.556,1.382,4.15,ASAP-0011490,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=CC=N2)C1 |&1:16|,2023-06-21
24.490,21.124,28.393,1.284,4.61,ASAP-0011491,O=C([C@H]1CC2=CC=CC=C2CN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCC1 |&1:2|,2023-06-21
8.979,7.756,10.395,1.262,5.05,ASAP-0011492,"C[C@H]1C[C@H](C2=CSC=C2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",2023-06-21
46.871,40.951,53.648,1.344,4.33,ASAP-0011489,"O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C[C@H]2CCOC2)C1 |&1:17,&2:19|",2023-06-21
22.364,19.508,25.638,1.248,4.65,ASAP-0011495,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CSC=C2)C1,2023-06-21
31.123,27.422,35.323,1.202,4.51,ASAP-0011500,CN(C1=CC=CC=C1)[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:8|,2023-06-21
8.219,7.252,9.316,1.17,5.09,ASAP-0011501,CC1=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=CS1 |&1:4|,2023-06-21
32.326,28.689,36.424,1.228,4.49,ASAP-0011499,CN1C[C@H](CC2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)CC1=O |&1:3|,2023-06-21
36.601,30.095,44.513,1.371,4.44,ASAP-0011502,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=NC=CS2)CC1,2023-06-21
15.451,12.852,18.577,1.26,4.81,ASAP-0011241,O=C(CC1=CN=CC2=CC=CC=C12)N1CCS[C@H](C2=CC=CC=C2)C1 |&1:17|,2023-06-13
0.172,0.129,0.23,1.378,6.76,ASAP-0011347,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1CCC1)C(=O)C1=CC=C(F)C=C12,2023-06-13
12.151,11.195,13.189,1.199,4.92,ASAP-0011379,"CC[C@H](C1=CC=CC=C1)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,&2:9|",2023-06-13
0.170,0.136,0.214,1.287,6.77,ASAP-0011349,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1COC1)C(=O)C1=CC=C(Cl)C=C12,2023-06-13
32.256,28.484,36.527,1.237,4.49,ASAP-0011258,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CN=CS1 |&1:18|,2023-06-13
44.098,37.963,51.223,1.302,4.36,ASAP-0011245,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCSC[C@H]1C(F)(F)F |&1:19|,2023-06-13
10.475,9.194,11.935,1.332,4.98,ASAP-0011260,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCCC2)C1,2023-06-13
